Words,Tags
aside,RB
presiding,VBG
seniority,NN
county,NN
fiercely,RB
proud,JJ
abilities,NNS
Pontiac,NNP
Sunbird,NNP
dealership,NN
dutifully,RB
Bognato,NNP
arrogance,NN
demeanor,NN
unrelated,JJ
Pontiac-Cadillac,NNP
apprehensions,NNS
Laurel,NNP
precaution,NN
disavowed,VBD
stationery,NN
farther,RBR
repossess,VB
intervene,VB
adversary,NN
inclined,VBN
reconsider,VB
unfortunate,JJ
extort,VB
acquiesced,VBD
refinanced,VBN
trade-in,NN
Citation,NNP
resold,VBN
onerous,JJ
defend,VB
seven-bedroom,JJ
cedar,NN
brick,NN
pre-trial,JJ
intact,JJ
innocent,JJ
Cockburn,NNP
comic,JJ
masterpiece,NN
Built,VBN
Junk-Bond,NN
Sand,NN
Viewpoint,NN
abominable,JJ
evidenced,VBN
sand,NN
Armenian,JJ
metaphor,NN
sublime,JJ
satirical,JJ
muse,NN
await,VBP
sequel,NN
resiliency,NN
charitable,JJ
metaphors,NNS
supremacy,NN
whatever,WDT
grass-roots,JJ
environmentalist,NN
"220,000",CD
newsprint,NN
overflowing,VBG
excellent,JJ
Please,VB
impeccable,JJ
M.W.,NNP
Gardiner,NNP
FINANCIAL,NNP
Shareholders,NNS
title-insurance,JJ
Cablevision,NNP
2004,CD
single-B-1,JJ
single-B,JJ
Beatrice,NNP
251,CD
scaled,VBN
151,CD
reset,NN
99.75,CD
float,VB
12.9375,CD
single-B-3,JJ
single-B-plus,JJ
Wastewater,NNP
Treatment,NNP
75.1,CD
40.9,CD
wastewater,NN
7.0826,CD
34.2,CD
7.0808,CD
uninsured,JJ
2008-2009,CD
Matagorda,NNP
Navigation,NNP
70.3,CD
7.649,CD
Interest,NN
calculating,VBG
Remic,NNP
109,CD
Complete,JJ
Lomas,NNP
9.35,CD
10.48,CD
21.18,CD
20-year,JJ
2.45,CD
weighted,JJ
11.08,CD
Fitch,NNP
overcollateralized,VBN
J.C.,NNP
Penney,NNP
JCP,NNP
Master,NNP
2001,CD
99.1875,CD
9.192,CD
8.95,CD
10.05,CD
1.31,CD
Keio,NNP
Teito,NNP
Railway,NNP
Diesel,NNP
Kiki,NNP
Chugoku,NNP
Monte,NNP
dei,FW
Paschi,NNP
di,FW
Siena,NNP
Debenture,NN
Okobank,NNP
101.225,CD
6.056,CD
IBJ,NNP
EG&G,NNP
Laboratorium,NNP
Berthold,NNP
Wellesley,NNP
Deutsche,NNP
54.5,CD
Wildbad,NNP
Kucharski,NNP
bio-analytical,JJ
Transgenic,NNP
Sciences,NNPS
Worcester,NNP
toxicology,NN
Sherblom,NNP
Tax,NNP
Hunt,NNP
owe,VBP
tycoon,NN
removes,VBZ
D.C,NNP
65.7,CD
Minpeco,NNP
Peruvian,JJ
minerals,NNS
Abramson,NNP
Regarding,VBG
liquidating,VBG
demanded,VBD
Grover,NNP
Hartt,NNP
pottery,NN
condominium,NN
dice,NNS
McCartin,NNP
gamble,NN
outlet,NN
pooled,VBN
packaged,VBN
snap,VBP
courses,NNS
shunned,VBD
tsunami,NN
tidal,JJ
headway,NN
drum,VB
abounds,VBZ
mortgage-securities,JJ
Kinji,NNP
Kato,NNP
Ultimately,RB
59-dealer,JJ
dipped,VBD
prepaid,JJ
headache,NN
reinvest,VB
Compounding,VBG
homeowners,NNS
posed,VBN
steered,VBD
Conduits,NNS
uninvited,JJ
takeovers,NNS
premature,JJ
Therefore,RB
rage,NN
boardrooms,NNS
academia,NN
colors,NNS
shapes,VBZ
Supporters,NNS
adoption,NN
Recent,JJ
Georgeson,NNP
reduces,VBZ
evaluate,VB
Does,VBZ
viable,JJ
chances,NNS
forever,RB
time-limited,JJ
composition,NN
then-current,JJ
Pennzoil,NNP
prudent,JJ
Pittsburgh-based,JJ
Intergroup,NNP
Wisconsin,NNP
receptivity,NN
informal,JJ
fruitful,JJ
abstract,JJ
Pozen,NNP
Enfield,NNP
Ontario,NNP
libel,NN
Hees,NNP
Holders,NNS
11-member,JJ
disallowed,VBD
proxies,NNS
overturned,VBD
Willard,NNP
L'Heureux,NNP
"720,000",CD
financiers,NNS
Bronfman,NNP
alley,NN
similarly,RB
tony,JJ
846,CD
uncharacteristically,RB
nervy,JJ
beloved,JJ
tensions,NNS
all-time,JJ
affinities,NNS
dismissing,VBG
backlash,NN
reactions,NNS
Pettit,NNP
avoided,VBN
criticize,VB
heels,NNS
Officially,RB
refrain,VB
mid-1980s,NNS
Seimei,NNP
670,CD
153,CD
53rd,CD
Fudosan,NNP
610,CD
Building,NNP
Arco,NNP
Shuwa,NNP
7.1,CD
partnerships,NNS
landmark,NN
irritated,JJ
Japan-U.S,NNP
Secondly,RB
philosophies,NNS
cooperate,VB
interfere,VB
rely,VB
Jotaro,NNP
Takagi,NNP
"190,000",CD
meters,NNS
incredibly,RB
Marunouchi,NNP
jokingly,RB
samurai,NN
moat,NN
Imperial,NNP
Palace,NNP
east,JJ
hodgepodge,NN
twisted,JJ
alleys,NNS
isolation,NN
Western-style,JJ
locate,VB
railway,NN
dubious,JJ
moniker,NN
seisho,FW
literally,RB
government-business,NN
pejorative,JJ
connotation,NN
cautiousness,NN
57.4,CD
tenants,NNS
Graeme,NNP
robust,JJ
35.5,CD
250.2,CD
catapult,VB
lagged,VBN
Yoshio,NNP
Shima,NNP
dent,NN
finances,NNS
landowner,NN
Minato-Mirai,NNP
multibillion-yen,JJ
Yokohama,NNP
Landmark,NNP
tallest,JJS
redevelop,VB
budgeted,VBN
enemies,NNS
acrimonious,JJ
Hollywood,NNP
Bros.,NNP
signaled,VBD
Superior,NNP
injunction,NN
Guber-Peters,NNP
breach-of-contract,JJ
hurled,VBN
accusations,NNS
duplicity,NN
posturing,NN
on-again,JJ
off-again,JJ
Records,NNPS
surpassed,VBN
Burbank,NNP
MGM,NNP
Lorimar,NNP
Telepictures,NNPS
sworn,VBN
affidavits,NNS
Walter,NNP
Yetnikoff,NNP
affidavit,NN
antiSony,JJ
anti-Japanese,JJ
co-chief,JJ
baseless,JJ
enjoys,VBZ
relationships,NNS
acrimony,NN
alongside,IN
fray,NN
Talks,NNS
unravel,VB
fulfill,VB
declarations,NNS
exclude,VB
Bonfire,NN
Vanities,NNS
Bright,NNP
Shining,VBG
Lie,NN
studios,NNS
sequels,NNS
Batman,NNP
blockbuster,NN
conspiracy,NN
evasion,NN
Vining,NNP
wide-ranging,JJ
conspired,VBD
spare,JJ
evade,VB
Barr,NNP
Utility,NNP
Addison,NNP
plead,VB
proper,JJ
Appleyard,NNP
guise,NN
hiding,VBG
Jake,NNP
Horton,NNP
mastermind,NN
Leonard,NNP
Hemmer,NNP
Yates,NNP
oversaw,VBD
governmental-affairs,JJ
mysteriously,RB
uncovering,VBG
irregularities,NNS
27.125,CD
Frequent,JJ
Drinker,NN
Offer,NN
Stirs,VBZ
Spirited,JJ
Debate,NN
GRAB,NNP
scotch,NN
Seagram,NNP
frequent,JJ
drinker,NN
upgrade,VB
seating,NN
Repeat,NN
mounting,VBG
liquor,NN
risky,JJ
Penn,NNP
Kavanagh,NNP
Schieffelin,NNP
Johnnie,NNP
scotches,NNS
soaking,VBG
Lerman,NNP
Rich,NNP
Greene,NNP
savor,VB
guzzle,VB
J&B,NNP
Scotch,NNP
TWA,NNP
flier,NN
Dewar,NNP
Scottish,NNP
scope,NN
leg,NN
three-to-five-year,JJ
12-month,JJ
proof-of-purchases,NNS
Goya,NNP
Concocts,VBZ
Milk,NN
Hispanic,JJ
Tastes,NNS
MOST,JJS
FOOD,NN
cholesterol,NN
health-conscious,JJ
bucking,VBG
Secaucus,NNP
Lecheria,NNP
higher-fat,JJR
Leche,NNP
Fresca,NNP
creamier,JJR
Hispanics,NNPS
butterfat,NN
Borden,NNP
reduced-fat,JJ
milks,NNS
grocery,NN
bodegas,NNS
Greg,NNP
Ricca,NNP
tastes,NNS
Jewelry,NN
Makers,NNPS
Copy,NNP
Cosmetics,NNS
Ploys,NNS
FOR,IN
YEARS,NNS
costume,JJ
jewelry,NN
uninspired,JJ
fake,JJ
faux,JJ
gems,NNS
fashionable,JJ
cosmetics,NNS
honed,VBN
Karen,NNP
Alberg,NNP
Accessories,NNS
Crystal,NNP
Trifari,NNP
Monet,NNP
Swank,NNP
launching,VBG
fragrance,NN
hiring,VBG
stroll,VB
sporting,VBG
jewels,NNS
borrow,VB
perennial,JJ
Renk,NNP
nixed,VBD
animal,NN
motifs,NNS
zoo,NN
cutouts,NNS
finery,NN
tamer,JJR
focuses,VBZ
earring,NN
motivate,VB
Odds,NNS
Ends,NNS
DESPITE,IN
GROWING,VBG
refillable,JJ
Procter,NNP
Gamble,NNP
Tide,NNP
Clean,NNP
Marketers,NNS
convenience,NN
trade-off,NN
Braumeisters,NNPS
brewed,VBN
oat,NN
bran,NN
Called,VBN
Otto,NNP
Original,NNP
Oat,NNP
Bran,NNP
Beer,NNP
brew,NN
12.75,CD
Northwest,NNP
jetliner,NN
NWA,NNP
McDonnell,NNP
MD-80,NNP
pursuing,VBG
counterclaims,NNS
Airport,NNP
157,CD
Julian,NNP
Cook,NNP
defect,NN
improperly,RB
flown,VBN
wing,NN
flaps,NNS
slats,NNS
takeoff,NN
preflight,JJ
detected,VBD
cockpit,NN
NTSB,NNP
survived,VBD
Cecelia,NNP
Cichan,NNP
Tempe,NNP
brother,NN
relatives,NNS
Alabama,NNP
Myung,NNP
evangelist-industrialist,NN
1954,CD
Unification,NNP
mystery,NN
multimillion-dollar,JJ
catering,NN
Christianity,NNP
Testament-style,JJ
temporal,JJ
messiah,NN
unified,JJ
theocracy,NN
spreading,VBG
religion,NN
enterprises,NNS
religious,JJ
missions,NNS
Tax-exempt,JJ
airport,NN
solicitations,NNS
economically,RB
infrastructure,NN
Throughout,IN
spokesmen,NNS
anticult,NN
legacy,NN
"80,000",CD
publicity-seeking,JJ
Yankee,NNP
bicentennial,JJ
Watergate-beleaguered,JJ
Koreagate,NNP
income-tax,NN
recruitment,NN
Defections,NNS
burnouts,NNS
abduction,NN
deprogrammings,NNS
graying,VBG
enthusiastic,JJ
Moonies,NNPS
Father,NNP
procreation,NN
reputed,JJ
contention,NN
spree,NN
fishing\/processing,JJ
Alaska,NNP
monastery,NN
mansion,NN
picturesquely,RB
situated,VBN
Uruguay,NNP
Spanish-language,JJ
Noticias,NNP
Mundo,NNP
misleading,JJ
inputs,NNS
downpayments,NNS
fund-raisers,NNS
flowers,NNS
peanuts,NNS
begging,VBG
intersections,NNS
mid-to-late,JJ
pittance,NN
lavish,JJ
assorted,JJ
factories,NNS
employing,VBG
followers,NNS
subsistence,NN
ginseng,NN
marble,NN
vases,NNS
westward,RB
sociologist,NN
Bromley,NNP
delved,VBN
Unificationist,JJ
Likewise,RB
Burgess,NNP
Isikoff,NNP
transferred,VBN
English-language,JJ
Start-up,JJ
inaugurated,VBN
Insiders,NNS
show-piece,JJ
church-owned,JJ
fishing,NN
vessels,NNS
budgets,NNS
thousand-person,JJ
get-togethers,NNS
exotic,JJ
locales,NNS
dual,JJ
presenter,NN
investigator,NN
hosts,NNS
Paragon,NNP
co-edited,JJ
Melton,NNP
Study,NNP
Religion,NNP
concentrates,VBZ
non-``,``
Moonie,NN
religions,NNS
retreat,NN
Tong'Il,NNP
converts,VBZ
Panda,NNP
automobile-parts,JJ
Guangdong,NNP
Province,NNP
Unificationism,NNP
Whatever,WDT
respectability,NN
intellectuals,NNS
opinion-makers,NNS
salvage,VB
goals,NNS
Shupe,NNP
Cult,NN
Crusade,NN
Strange,JJ
Gods,NNS
Scare,NNP
Manville,NNP
Injury,NNP
Settlement,NNP
765,CD
Spokespersons,NNS
forest,NN
recapitalization,NN
Pravda,NNP
bloated,JJ
27.6,CD
Azerbaijan,NNP
25.7,CD
Tadzhikistan,NNP
22.8,CD
Uzbekistan,NNP
18.8,CD
Turkmenia,NNP
Armenia,NNP
Kirgizia,NNP
non-Russian,JJ
republics,NNS
border,NN
rioting,NN
retraining,VBG
Unemployed,NNP
cropped,VBN
11-week,JJ
"1,640",CD
slashed,VBD
continent,NN
tourist,NN
flying,VBG
Tourist,NNP
agent,NN
flight,NN
Transport,NNP
TNT,NNP
Naji,NNP
Nahas,NNP
closure,NN
31.1,CD
predicament,NN
Sao,NNP
Paulo,NNP
stock-margin,JJ
drafting,VBG
constitution,NN
Szeto,NNP
Wah,NNP
unfit,JJ
formulating,VBG
reverts,VBZ
antagonistic,JJ
nullify,VB
Sino-British,JJ
NUCLEAR,NN
REACTOR,NN
ISRAEL,NNP
Israeli,JJ
Moshe,NNP
Shahal,NNP
Epp,NNP
reactor,NN
Tel,NNP
Aviv,NNP
Candu,NNP
heavy-water,NN
Non-Proliferation,NNP
subterfuge,NN
protocol,NN
Venezuela,NNP
debt-equity,JJ
participating,VBG
disbursement,NN
disbursed,VBN
1.78,CD
Perozo,NNP
tourism,NN
fishery,NN
agro-industry,JJ
Venezuelan,JJ
song,NN
Tracy,NNP
praising,VBG
Mandela,NNP
Freedom,NNP
soccer,NN
identity,NN
anti-hooligan,JJ
deprive,VB
troublemakers,NNS
Lords,NNPS
Imelda,NNP
Marcos,NNP
marital,JJ
privileges,NNS
spouses,NNS
incriminating,VBG
Keenan,NNP
pleadings,NNS
involuntarily,RB
racketeering,NN
obstruction,NN
embezzled,VBD
homeland,NN
fraudulently,RB
concealed,VBN
Marcoses,NNPS
crimes,NNS
unsupported,JJ
affirmation,NN
testimonial,JJ
fostering,VBG
utterances,NNS
threw,VBD
objections,NNS
self-incrimination,NN
Fifth,NNP
Sandor,NNP
Frankel,NNP
LaBella,NNP
BRITISH,JJ
LAW,NN
FIRMS,NNS
Sidley,NNP
Chicago-based,JJ
Ashurst,NNP
Morris,NNP
Crisp,NNP
solicitors,NNS
advising,VBG
one-stop,JJ
Bruce,NNP
Schimberg,NNP
Sidley-Ashurst,NNP
staffed,VBN
tap,VB
Hashidate,NNP
UNITED,NNP
AUTO,NNP
WORKERS,NNS
rehearing,NN
engages,VBZ
wage-discrimination,NN
three-judge,JJ
UAW,NNP
14-judge,JJ
intentionally,RB
segregated,VBD
predominantly,RB
determining,VBG
discriminatory,JJ
JERSEY,NNP
MERGER,NN
Norris,NNP
McLaughlin,NNP
41-lawyer,JJ
Manger,NNP
Kalison,NNP
McBride,NNP
general-practice,JJ
DRUG,NN
WARS,NNS
legislator,NN
proposes,VBZ
color-coding,VBG
authorize,VB
probation,NN
Senator,NNP
J.E.,NNP
Buster,NNP
embarrassment,NN
teenagers,NNS
deterrant,JJ
Avena,NNP
Liberties,NNPS
gimmickry,NN
Bosco,NNP
283-132,JJ
subtitled,VBN
Oberstar,NNP
aviation,NN
regimen,NN
governed,VBN
suburbs,NNS
Employees,NNS
wore,VBD
identification,NN
badges,NNS
abolished,VBN
cultural,JJ
revolution,NN
subtlety,NN
freight,NN
flex-time,JJ
schedules,NNS
dress,NN
casually,RB
forbidding,VBG
staffers,NNS
decades-old,JJ
snappy,JJ
sung,VBN
vocalist,NN
coed,NN
Tadahiko,NNP
Fukuyama,NNP
glasnost,FW
loosened,VBN
sleek,JJ
Maxima,NNP
sedan,NN
Porsche-like,JJ
300ZX,NNP
whimsically,RB
nostalgic,JJ
Pao,NNP
minicar,NN
lessons,NNS
awry,RB
postwar,JJ
self-criticism,NN
discover,VB
Yutaka,NNP
Kume,NNP
fourth-largest,JJ
Toyota,NNP
Honda,NNP
pipsqueak,NN
dropping,VBG
Worst,RBS
preoccupied,VBN
infighting,NN
cronyism,NN
rigidity,NN
Satoko,NNP
Kitada,NNP
30-year-old,JJ
interiors,NNS
tasks,NNS
dashboard,NN
speedometer,NN
boring,JJ
boxy,JJ
Desperately,RB
hoping,VBG
dealerships,NNS
rookie,NN
chic,JJ
insights,NNS
trend-setters,NNS
town-watching,JJ
excursions,NNS
Zama,NNP
trendy,JJ
fearing,VBG
trips,NNS
productive,JJ
Aoyama,NNP
liked,VBD
well-lighted,JJ
lobby,NN
exhibit,NN
refurbished,VBN
crab,NN
sideways,RB
shifts,NNS
resisted,VBN
die-hards,NNS
neglected,VBN
Kouji,NNP
Hori,NNP
Technical,NNP
revamped,VBN
near-luxury,JJ
"17,699",CD
sedans,NNS
pug-nosed,JJ
aerodynamic,JJ
"13,249",CD
240SX,NNP
sporty,JJ
coupe,NN
restyled,VBN
"33,000",CD
squared,VBN
Porche,NNP
944,CD
"41,900",CD
styling,NN
Nissans,NNPS
outselling,VBG
predecessors,NNS
grabbed,VBD
limited-production,JJ
minicars,NNS
peelback,JJ
canvas,NN
tilted,JJ
headlights,NNS
droopy-eyed,JJ
Paos,NNPS
S-Cargo,NNP
offbeat,JJ
snail-like,JJ
clocks,NNS
styled,VBN
oversized,JJ
depressing,JJ
eight-year,JJ
tide,NN
recoup,VB
optimistic,JJ
designs,NNS
Rama,NNP
Krishna,NNP
new-model,JJ
arch-rival,JJ
unleashes,VBZ
batch,NN
5.2,CD
successes,NNS
compact,JJ
subcompact,NN
trails,NNS
Stanza,NNP
nonentity,NN
hugely,RB
Accord,NNP
Camry,NNP
"11,450",CD
749,CD
more-powerful,JJR
engine,NN
"12,345",CD
low-base-price,JJ
rebates,NNS
rebate,NN
cheapens,VBZ
Mignanelli,NNP
Sentra,NNP
Civic,NNP
Corolla,NNP
launches,VBZ
Infiniti,NNP
pioneered,VBD
Lexus,NNP
showrooms,NNS
fences,NNS
rocks,NNS
pussy-willow,NN
buds,NNS
"38,000",CD
Q45,NNP
"49,000",CD
LS400,NN
confesses,VBZ
Takashi,NNP
Oka,NNP
slow-startup,JJ
21st,JJ
hurry,NN
114.63,CD
868,CD
20.39,CD
gap,NN
arenas,NNS
managerial,JJ
headaches,NNS
Tennessee,NNP
Auto,NN
organizing,VBG
transitional,JJ
overseeing,VBG
Phase,NN
cultural-reform,NN
momentum,NN
unstoppable,JJ
Bros,NNP
recorded-music,JJ
music-publishing,JJ
MCA,NNP
Azoff,NNP
purposely,RB
summit,NN
alternating,VBG
naval,JJ
vessel,NN
Mediterranean,NNP
seaborne,JJ
disrupt,VB
announcing,VBG
acquainted,VBN
diversion,NN
ethnic,JJ
unrest,NN
reacting,VBG
communism,NN
damp,VB
Leader,NNP
critic,NN
arranging,VBG
sea,NN
advisers,NNS
appearances,NNS
full-scale,JJ
spring-early,JJ
U.S.-Soviet,JJ
terrorism,NN
Most-Favored,JJS
Nation,NN
tariffs,NNS
candid,JJ
woe,NN
perestroika,FW
grow,VB
navies,NNS
recurring,VBG
Kremlin,NNP
comparisons,NNS
loosely,RB
superpower,NN
gathering,NN
Reykjavik,NNP
Iceland,NNP
alliance,NN
readily,RB
second-level,JJ
get-together,NN
transform,VB
loosen,VB
grip,NN
suggesting,VBG
precede,VB
Gumbel,NNP
Banca,NNP
Nazionale,NNP
Lavoro,NNP
Iraq,NNP
1.175,CD
872,CD
marking,VBG
quantification,NN
BNL,NNP
topping,VBG
Rome-based,JJ
State-owned,JJ
Drogoul,NNP
fiduciary,JJ
in-depth,JJ
outlining,VBG
suitable,JJ
Rome,NNP
outlined,VBN
capital-raising,JJ
Hardly,RB
dragging,VBG
limp,JJ
thoroughfare,NN
pro-,JJ
anti-nuclear,JJ
activists,NNS
racism,NN
anti-apartheid,JJ
self-styled,JJ
dissatisfied,JJ
Mohandas,NNP
Gandhi,NNP
recognizable,JJ
non-violent,JJ
disobedience,NN
Mahatma,NNP
souled,JJ
instigated,VBD
passive,JJ
Webster,NNP
Biographical,NNP
Dictionary,NNP
riots,NNS
disturbances,NNS
imprisonment,NN
occupation,NN
Indians,NNPS
affected,VBN
recourse,NN
truly,RB
safeguarded,VBN
construe,VB
excuse,NN
pinpointed,JJ
non-invasive,JJ
Rosa,NNP
Parks,NNP
bus,NN
illustration,NN
tendency,NN
equate,VB
lawful,JJ
Lawful,JJ
picketing,NN
assemblages,NNS
nuisance,JJ
violent,JJ
intentional,JJ
tangential,JJ
grievances,NNS
delight,NN
overuse,NN
slogans,NNS
bullhorns,NNS
militant,JJ
gestures,NNS
accusatory,JJ
emotionally,RB
Civilized,JJ
discourse,NN
posture,NN
abetted,VBN
superficial,JJ
interviews,NNS
boringly,RB
uninformative,JJ
stimuli,NNS
Demonstrations,NNS
apt,JJ
degenerate,VB
site,NN
grievance,NN
criminals,NNS
excitement,NN
attach,VB
remora,NNS
fringes,NNS
trashing,NN
arson,NN
looting,NN
hooliganism,NN
demonstration,NN
mob,NN
misdemeanors,NNS
galvanizing,VBG
all-important,JJ
Assume,VB
speeding,VBG
careless,JJ
lie,VB
ambulance,NN
dies,VBZ
airing,VBG
politician,NN
cameras,NNS
trespasses,NNS
impair,VB
unconnected,JJ
popularize,VB
hypothesized,VBN
chickens,NNS
roost,VB
Geraldo,NNP
Phil,NNP
chained,JJ
Let,VB
indirectly,RB
irreparable,JJ
disobey,VB
Vietnam,NNP
sanctuary,NN
cowardly,JJ
hide,VB
cloak,NN
immoral,JJ
fabric,NN
defections,NNS
enemy,NN
propagandists,NNS
amazing,JJ
ensuing,VBG
mass,NN
Cambodia,NNP
morally,RB
fine-tuned,JJ
well-meaning,JJ
naive,JJ
infamy,NN
wounds,NNS
pardoned,VBD
draft,NN
evaders,NNS
dignity,NN
immorality,NN
extraordinarily,RB
visibility,NN
Give,VB
spotlight,NN
sincere,JJ
informed,VBN
probable,JJ
thorough,JJ
calm,VB
rational,JJ
Deukmejian,NNP
one-quarter-cent,JJ
repairs,NNS
quake,NN
3.45,CD
bipartisan,JJ
outline,VB
revenue-raising,JJ
quake-relief,JJ
six-cent,JJ
sales-tax,NN
gas-tax,NN
gas-tax-increasing,JJ
Kimberly-Clark,NNP
consumer-products,NNS
108.8,CD
90.5,CD
1.12,CD
6.2,CD
1.45,CD
1.37,CD
diapers,NNS
feminine-care,JJ
Newsprint,NN
discounting,NN
quarter-to-quarter,JJ
313.2,CD
3.89,CD
283.9,CD
3.53,CD
4.27,CD
66.50,CD
INTENSIVE,JJ
AUDITS,NNS
"55,500",CD
guinea,NN
pigs,NNS
Unsuspecting,JJ
filers,NNS
randomly,RB
audits,NN
update,VB
selection,NN
Taxpayer,NNP
Compliance,NNP
Measurement,NNP
1988-return,JJ
Specially,RB
under-reported,JJ
deductions,NNS
dependents,NNS
allowable,JJ
satisfied,VBN
TCMP,NNP
fullscale,JJ
audited,VBN
Rewards,NNS
PENALTY,NN
OVERHAUL,NN
Long-debated,JJ
simplify,VB
fairer,JJR
216,CD
enactment,NN
modified,VBN
Pryor,NNP
backs,VBZ
negligence,NN
misstatements,NNS
payroll-tax,NN
faulty,JJ
1099,CD
urges,VBZ
deterrents,NNS
TAXPAYERS,NNS
RIGHTS,NNS
spelling,VBG
assessment,NN
Oregon,NNP
Administrators,NNPS
Taxation,NNP
comprises,VBZ
330,CD
multistate,NN
advises,VBZ
Chambers,NNP
Cahoon,NNP
evenhanded,JJ
uniformity,NN
10-point,JJ
patterned,VBN
MILEAGE,NN
25.5,CD
mile,NN
unaltered,JJ
IRA,NN
BALANCES,NNS
Reps.,NNPS
Wash,NNP
Andrews,NNP
individual-retirement-account,NN
violates,VBZ
HUGO,NNP
FELLED,VBD
timberlands,NNS
delegation,NN
casualty-loss,JJ
hurricane,NN
HE,PRP
RODE,VBD
HIS,PRP$
HOBBY,NN
weighs,VBZ
sideline-business,JJ
profit-seeking,JJ
nondeductible,JJ
hobby,NN
Givens,NNP
Vernon,NNP
ex-accountant,NN
bred,VBN
Walking,VBG
Horses,NNS
"42,455",CD
Special,JJ
Galloway,NNP
horse-breeding,NN
businesslike,JJ
conservation,NN
sideline,NN
brood,NN
mare,NN
deduct,VB
"30,180",CD
horse,NN
"12,275",CD
"19,000",CD
Kirkendall,NNP
inspector,NN
ratification,NN
arbitrator,NN
examining,VBG
overturning,VBG
long-simmering,JJ
predates,VBZ
arbitration,NN
Burton,NNP
Lifland,NNP
collect,VB
back-pay,NN
mutually,RB
acceptable,JJ
unwarranted,JJ
Linsey,NNP
Line,NNP
Pilots,NNS
delicate,JJ
Machinists,NNS
supervisors,NNS
sided,VBN
mid-November,NNP
Ironically,RB
hackles,NNS
Achenbaum,NNP
infamous,JJ
beating,VBG
Worldwide,NNP
dissolving,VBG
Canter,NNP
hesitate,VB
excorciate,VB
mellowed,VBN
echoing,VBG
shrewd,JJ
Saatchi,NNP
Hyundai,NNP
positioning,NN
searches,NNS
seminars,NNS
non-clients,NNS
hallmark,NN
pampers,VBZ
invites,VBZ
fabulous,JJ
strokes,NNS
delves,VBZ
intimacy,NN
delver,NN
Gottesman,NNP
retire,VB
paring,VBG
merging,VBG
outfit,NN
1974,CD
Thompson,NNP
best-known,JJS
chipping,VBG
indemnification,NN
clauses,NNS
frustrated,VBN
struck,VBD
pointedly,RB
integrate,VB
pure,JJ
towards,IN
redefined,VBD
mission,NN
accomplish,VB
wishing,VBG
then-president,JJ
Advertising,NNP
Agencies,NNPS
quisling,NN
incendiary,JJ
Johnston,NNP
price-cutting,NN
Cotton,NNP
Thanksgiving,NNP
outspoken,JJ
Fabric,NN
Lives,NNS
replaces,VBZ
Comfort,NNP
Cannon,NNP
Martex,NNP
towels,NNS
spots,NNS
opted,VBD
laughter,NN
hugs,NNS
tears,NNS
Rost,NNP
Good,JJ
Morning,NNP
Macy,NNP
Parade,NNP
NFL,NNP
Mingo,NNP
Dies,VBZ
pioneers,NNS
stroke,NN
Clients,NNS
Brewing,NNP
hospitalized,VBN
Chisholm,NNP
EARNINGS,NNS
Omnicom,NNP
246.6,CD
204.8,CD
Kuan,NNP
Yew,NNP
statesmen,NNS
thinning,VBG
pallor,NN
dare,VB
66-year-old,JJ
plainly,RB
furnished,VBN
wood-paneled,JJ
Skipping,VBG
pleasantries,NNS
orthodox,JJ
plurality,NN
Excerpts,NNS
scene,NN
Zhao,NNP
Ziyang,NNP
rusticated,VBN
missing,VBG
Rebuilding,VBG
similarities,NNS
inefficiency,NN
industrialize,VB
liberalize,VB
deeper,JJR
blinkers,NNS
introverted,JJ
Regardless,RB
Asia-Pacific,NNP
prosperity,NN
ASEAN,NNP
sustain,VB
zero-sum,JJ
ministerial,JJ
Canberra,NNP
encouraged,VBN
strident,JJ
Mosbacher,NNP
rounded,JJ
circumspect,JJ
deficits,NNS
satisfy,VB
consumed,VBN
turbulence,NN
timorous,JJ
tackling,VBG
preserve,VB
lackeys,NNS
imperialists,NNS
U.S.-Philippine,JJ
mixed-up,JJ
Filipinos,NNPS
passionately,RB
dispose,VB
lorded,VBD
serials,NNS
Filipino,NNP
manhood,NN
squatted,VBN
occasional,JJ
Englishman,NNP
tries,VBZ
airs,NNS
pretend,VB
suppose,VBP
royalties,NNS
Cambodian,JJ
Norodom,NNP
Sihanouk,NNP
Vietnamese-backed,JJ
Hun,NNP
Sen,NNP
knock,VB
Khmer,NNP
bluntly,RB
discard,VB
Wain,NNP
neurosurgeon,NN
Levy,NNP
spinal,JJ
tumor,NN
Clinic,NNP
shocks,NNS
sensory,JJ
nerves,NNS
nerve,NN
impulses,NNS
spine,NN
brain-wave,JJ
woke,VBD
paralyzed,VBN
monitored,VBN
tragedy,NN
probe,NN
safer,JJR
diagnosis,NN
multiple,JJ
sclerosis,NN
thrusting,VBG
workings,NNS
painless,JJ
harmless,JJ
whirlwinds,NNS
motor-control,JJ
hand-held,JJ
electromagnets,NNS
activate,VBP
muscles,NNS
finger,NN
twitch,VB
electrician,NN
circuits,NNS
measuring,VBG
function,NN
Chiappa,NNP
neurologist,NN
clinical,JJ
subjective,JJ
unconscious,JJ
Magnetic,JJ
tweaking,NN
1900s,NNS
flashes,NNS
visual,JJ
Mayo,NNP
stimulate,VB
limbs,NNS
unwieldy,JJ
Reginald,NNP
Bickford,NNP
Diego,NNP
handy,JJ
magnet,NN
stimulation,NN
mapping,NN
anesthetized,JJ
brains,NNS
awake,JJ
Tator,NNP
car-crash,JJ
